client,Lobbyist,Quarterly return period
Delancey,Cavendish Place Communications Limited,July to September 2018
Delancey,Cavendish Place Communications Limited,October to December 2017
East Midlands Airport,Cavendish Place Communications Limited,April to June 2018
East Midlands Airport,Cavendish Place Communications Limited,April to June 2018
East Midlands Airport,Cavendish Place Communications Limited,January to March 2018
East Midlands Airport,Cavendish Place Communications Limited,July to September 2018
ESO Capitol,Cavendish Place Communications Limited,April to June 2018
ESO Capitol,Cavendish Place Communications Limited,July to September 2018
Federation for Industry Sector Skills and Standards,Cavendish Place Communications Limited,April to June 2015
Federation for Industry Sector Skills and Standards,Cavendish Place Communications Limited,April to June 2016
Federation for Industry Sector Skills and Standards,Cavendish Place Communications Limited,January to March 2015
Federation for Industry Sector Skills and Standards,Cavendish Place Communications Limited,January to March 2018
Federation for Industry Sector Skills and Standards,Cavendish Place Communications Limited,July to September 2015
Federation for Industry Sector Skills and Standards,Cavendish Place Communications Limited,July to September 2016
Federation for Industry Sector Skills and Standards,Cavendish Place Communications Limited,July to September 2018
Federation for Industry Sector Skills and Standards,Cavendish Place Communications Limited,October to December 2015
Grainger PLC,Cavendish Place Communications Limited,April to June 2018
Grainger PLC,Cavendish Place Communications Limited,July to September 2018
Guild of Travel Management Companies,Cavendish Place Communications Limited,April to June 2016
Guild of Travel Management Companies,Cavendish Place Communications Limited,April to June 2017
Guild of Travel Management Companies,Cavendish Place Communications Limited,April to June 2018
Guild of Travel Management Companies,Cavendish Place Communications Limited,January to March 2015
Guild of Travel Management Companies,Cavendish Place Communications Limited,January to March 2016
Guild of Travel Management Companies,Cavendish Place Communications Limited,January to March 2018
Guild of Travel Management Companies,Cavendish Place Communications Limited,July to September 2015
Guild of Travel Management Companies,Cavendish Place Communications Limited,July to September 2016
Guild of Travel Management Companies,Cavendish Place Communications Limited,July to September 2017
Guild of Travel Management Companies,Cavendish Place Communications Limited,July to September 2018
Guild of Travel Management Companies,Cavendish Place Communications Limited,October to December 2016
Guild of Travel Management Companies,Cavendish Place Communications Limited,October to December 2017
Imperial Hotels,Cavendish Place Communications Limited,April to June 2017
Imperial Hotels,Cavendish Place Communications Limited,April to June 2018
Imperial Hotels,Cavendish Place Communications Limited,January to March 2018
Imperial Hotels,Cavendish Place Communications Limited,July to September 2017
Imperial Hotels,Cavendish Place Communications Limited,July to September 2018
Imperial Hotels,Cavendish Place Communications Limited,October to December 2017
Institute of Customer Service,Cavendish Place Communications Limited,April to June 2017
Institute of Customer Service,Cavendish Place Communications Limited,April to June 2018
Institute of Customer Service,Cavendish Place Communications Limited,January to March 2017
Institute of Customer Service,Cavendish Place Communications Limited,January to March 2018
Institute of Customer Service,Cavendish Place Communications Limited,July to September 2016
Institute of Customer Service,Cavendish Place Communications Limited,July to September 2017
Institute of Customer Service,Cavendish Place Communications Limited,July to September 2018
Institute of Customer Service,Cavendish Place Communications Limited,October to December 2016
Institute of Customer Service,Cavendish Place Communications Limited,October to December 2017
Keolis,Cavendish Place Communications Limited,April to June 2017
Keolis,Cavendish Place Communications Limited,April to June 2018
Keolis,Cavendish Place Communications Limited,January to March 2015
Keolis,Cavendish Place Communications Limited,January to March 2016
Keolis,Cavendish Place Communications Limited,January to March 2018
Keolis,Cavendish Place Communications Limited,July to September 2015
Keolis,Cavendish Place Communications Limited,July to September 2016
Keolis,Cavendish Place Communications Limited,July to September 2017
Keolis,Cavendish Place Communications Limited,July to September 2018
Keolis,Cavendish Place Communications Limited,October to December 2016
Keolis,Cavendish Place Communications Limited,October to December 2017
LDC,Cavendish Place Communications Limited,January to March 2018
LDC,Cavendish Place Communications Limited,July to September 2018
LDC,Cavendish Place Communications Limited,October to December 2017
