client,Lobbyist,Quarterly return period
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,July to September 2017
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,October to December 2015
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,October to December 2016
National Federation of Property Professionals (NFOPP),Lansons Communications LLP,October to December 2017
Neyber,Lansons Communications LLP,January to March 2016
SAP,Lansons Communications LLP,July to September 2017
SAP,Lansons Communications LLP,October to December 2017
The Phoenix Group,Lansons Communications LLP,April to June 2017
The Phoenix Group,Lansons Communications LLP,January to March 2018
The Phoenix Group,Lansons Communications LLP,October to December 2017
VocaLink,Lansons Communications LLP,July to September 2017
VocaLink,Lansons Communications LLP,October to December 2017
21st Century Fox,Lexington Communications,January to March 2017
Agricultural Biotechnology Council,Lexington Communications,January to March 2016
Agricultural Biotechnology Council,Lexington Communications,July to September 2016
Agricultural Biotechnology Council,Lexington Communications,October to December 2017
Ainscough Strategic Land,Lexington Communications,April to June 2016
Ainscough Strategic Land,Lexington Communications,January to March 2016
Ainscough Strategic Land,Lexington Communications,July to September 2016
Ainscough Strategic Land,Lexington Communications,October to December 2015
Arnold White Estates,Lexington Communications,July to September 2015
Arnold White Estates,Lexington Communications,October to December 2015
Barratt Developments,Lexington Communications,April to June 2016
Barratt Developments,Lexington Communications,January to March 2016
Barratt Developments,Lexington Communications,July to September 2016
Barratt Developments,Lexington Communications,October to December 2015
Bloor Homes,Lexington Communications,April to June 2016
Bloor Homes,Lexington Communications,January to March 2016
Bloor Homes,Lexington Communications,July to September 2016
Bloor Homes,Lexington Communications,October to December 2015
British Red Cross,Lexington Communications,July to September 2015
British Red Cross,Lexington Communications,October to December 2015
De Trafford,Lexington Communications,April to June 2016
De Trafford,Lexington Communications,January to March 2016
De Trafford,Lexington Communications,July to September 2016
De Trafford,Lexington Communications,October to December 2015
Discovery Communications Europe Ltd,Lexington Communications,January to March 2017
Emerson,Lexington Communications,April to June 2016
Emerson,Lexington Communications,January to March 2016
Emerson,Lexington Communications,July to September 2016
Emerson,Lexington Communications,October to December 2015
Eurotunnel,Lexington Communications,April to June 2016
Eurotunnel,Lexington Communications,January to March 2016
Eurotunnel,Lexington Communications,January to March 2017
Eurotunnel,Lexington Communications,July to September 2015
Eurotunnel,Lexington Communications,July to September 2016
Eurotunnel,Lexington Communications,October to December 2015
Eurotunnel,Lexington Communications,October to December 2016
Film Distributors Association,Lexington Communications,January to March 2017
G15 Group,Lexington Communications,July to September 2015
G15 Group,Lexington Communications,October to December 2015
Gladman,Lexington Communications,April to June 2016
Gladman,Lexington Communications,January to March 2016
Gladman,Lexington Communications,July to September 2016
Gladman,Lexington Communications,October to December 2015
Greene King,Lexington Communications,January to March 2017
HIMOR Group,Lexington Communications,April to June 2016
HIMOR Group,Lexington Communications,January to March 2016
HIMOR Group,Lexington Communications,July to September 2016
HIMOR Group,Lexington Communications,October to December 2015
IAG,Lexington Communications,July to September 2016
International Airlines Group (IAG),Lexington Communications,April to June 2016
International Airlines Group (IAG),Lexington Communications,January to March 2016
International Airlines Group (IAG),Lexington Communications,July to September 2015
International Airlines Group (IAG),Lexington Communications,October to December 2015
Motion Picture Association,Lexington Communications,January to March 2017
NBC Universal,Lexington Communications,January to March 2017
Pact,Lexington Communications,January to March 2017
Peel Holdings,Lexington Communications,April to June 2016
Peel Holdings,Lexington Communications,January to March 2016
Peel Holdings,Lexington Communications,July to September 2016
Scripps,Lexington Communications,July to September 2015
Scripps,Lexington Communications,October to December 2015
Starship Technologies,Lexington Communications,April to June 2018
Starship Technologies,Lexington Communications,October to December 2017
Taylor Wimpey,Lexington Communications,April to June 2016
Taylor Wimpey,Lexington Communications,January to March 2016
Taylor Wimpey,Lexington Communications,July to September 2016
Taylor Wimpey,Lexington Communications,October to December 2015
Tem property,Lexington Communications,July to September 2016
UPS,Lexington Communications,July to September 2015
Agilesphere,Lodestone Communications,April to June 2018
British Poultry Council,Lodestone Communications,April to June 2018
British Poultry Council,Lodestone Communications,January to March 2018
British Poultry Council,Lodestone Communications,July to September 2017
British Poultry Council,Lodestone Communications,July to September 2018
British Poultry Council,Lodestone Communications,October to December 2017
Committee of University Chairs,Lodestone Communications,April to June 2018
Committee of University Chairs,Lodestone Communications,January to March 2018
Committee of University Chairs,Lodestone Communications,October to December 2017
Glennmont Partners,Lodestone Communications,April to June 2018
Glennmont Partners,Lodestone Communications,January to March 2018
Glennmont Partners,Lodestone Communications,July to September 2018
Good Things Foundation,Lodestone Communications,July to September 2018
Horizon Nuclear Power,Lodestone Communications,April to June 2018
Horizon Nuclear Power,Lodestone Communications,January to March 2018
Horizon Nuclear Power,Lodestone Communications,October to December 2017
Learning Disability Voices,Lodestone Communications,April to June 2018
Learning Disability Voices,Lodestone Communications,October to December 2017
London Metropolitan University,Lodestone Communications,April to June 2018
London Metropolitan University,Lodestone Communications,January to March 2018
London Metropolitan University,Lodestone Communications,July to September 2017
London Metropolitan University,Lodestone Communications,July to September 2018
London Metropolitan University,Lodestone Communications,October to December 2017
MBDA,Lodestone Communications,January to March 2018
MBDA,Lodestone Communications,July to September 2017
MBDA,Lodestone Communications,October to December 2017
QS Enrolment Solutions,Lodestone Communications,April to June 2018
QS Enrolment Solutions,Lodestone Communications,January to March 2018
University of Birmingham,Lodestone Communications,January to March 2018
University Partnerships Programme (UPP),Lodestone Communications,April to June 2018
University Partnerships Programme (UPP),Lodestone Communications,January to March 2018
University Partnerships Programme (UPP),Lodestone Communications,July to September 2017
University Partnerships Programme (UPP),Lodestone Communications,October to December 2017
Young's Seafood Limited,Lodestone Communications,April to June 2018
Young's Seafood Limited,Lodestone Communications,January to March 2018
Young's Seafood Limited,Lodestone Communications,July to September 2017
Young's Seafood Limited,Lodestone Communications,October to December 2017
ABP,London Communications Agency,July to September 2017
Covent Garden Market Authority,London Communications Agency,April to June 2015
Covent Garden Market Authority,London Communications Agency,January to March 2015
Covent Garden Market Authority,London Communications Agency,January to March 2016
Covent Garden Market Authority,London Communications Agency,July to September 2015
Covent Garden Market Authority,London Communications Agency,October to December 2015
Epsom and St Helier University Hospitals Trust,London Communications Agency,April to June 2015
Epsom and St Helier University Hospitals Trust,London Communications Agency,January to March 2015
Film London,London Communications Agency,April to June 2016
Film London,London Communications Agency,January to March 2016
Film London,London Communications Agency,October to December 2015
Gatwick Airport,London Communications Agency,April to June 2015
Gatwick Airport,London Communications Agency,January to March 2015
Gatwick Airport,London Communications Agency,January to March 2016
Gatwick Airport,London Communications Agency,July to September 2015
Gatwick Airport,London Communications Agency,October to December 2015
Grosvenor,London Communications Agency,April to June 2015
Grosvenor,London Communications Agency,April to June 2016
Grosvenor,London Communications Agency,January to March 2015
Grosvenor,London Communications Agency,January to March 2016
Grosvenor,London Communications Agency,July to September 2015
Grosvenor,London Communications Agency,July to September 2016
Grosvenor,London Communications Agency,October to December 2015
Keep Chelsea Moving,London Communications Agency,April to June 2018
Keep Chelsea Moving,London Communications Agency,January to March 2018
Keep Chelsea Moving,London Communications Agency,July to September 2017
Keep Chelsea Moving,London Communications Agency,July to September 2018
Keep Chelsea Moving,London Communications Agency,October to December 2017
LAMDA Ltd (London Academy of Music and Dramatic Art),London Communications Agency,April to June 2015
LAMDA Ltd (London Academy of Music and Dramatic Art),London Communications Agency,April to June 2016
LAMDA Ltd (London Academy of Music and Dramatic Art),London Communications Agency,January to March 2015
LAMDA Ltd (London Academy of Music and Dramatic Art),London Communications Agency,January to March 2016
LAMDA Ltd (London Academy of Music and Dramatic Art),London Communications Agency,July to September 2015
LAMDA Ltd (London Academy of Music and Dramatic Art),London Communications Agency,October to December 2015
Lionel Road Developments Ltd,London Communications Agency,April to June 2016
Lionel Road Developments Ltd,London Communications Agency,January to March 2016
Lionel Road Developments Ltd,London Communications Agency,October to December 2015
London & Regional Properties,London Communications Agency,April to June 2015
London & Regional Properties,London Communications Agency,April to June 2016
London & Regional Properties,London Communications Agency,April to June 2017
London & Regional Properties,London Communications Agency,April to June 2018
London & Regional Properties,London Communications Agency,January to March 2015
London & Regional Properties,London Communications Agency,January to March 2016
London & Regional Properties,London Communications Agency,January to March 2017
London & Regional Properties,London Communications Agency,January to March 2018
London & Regional Properties,London Communications Agency,July to September 2015
London & Regional Properties,London Communications Agency,July to September 2016
London & Regional Properties,London Communications Agency,July to September 2017
London & Regional Properties,London Communications Agency,July to September 2018
London & Regional Properties,London Communications Agency,October to December 2015
London & Regional Properties,London Communications Agency,October to December 2016
NW London Collaboration of CCGs (North West London Collaboration of Clinical Commissioning Groups),London Communications Agency,April to June 2015
NW London Collaboration of CCGs (North West London Collaboration of Clinical Commissioning Groups),London Communications Agency,January to March 2015
Old Oak Park Ltd,London Communications Agency,April to June 2015
Old Oak Park Ltd,London Communications Agency,April to June 2016
