Payee,APPG,Benefit,Value,Date paid,Date registered
Samsung UK,"Parliamentary Internet, Communications and Technology Forum (an All-Party Parliamentary Group)",NA,"6,000",10/08/18,22/08/18
Sky,"Parliamentary Internet, Communications and Technology Forum (an All-Party Parliamentary Group)",NA,"6,000",26/01/18,03/04/18
Symantec,"Parliamentary Internet, Communications and Technology Forum (an All-Party Parliamentary Group)",NA,"6,000",29/03/18,03/04/18
techUK,"Parliamentary Internet, Communications and Technology Forum (an All-Party Parliamentary Group)",NA,"6,000",13/08/18,22/08/18
University of Warwick,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"6,000",23/04/18,15/05/18
Greene King,All-Party Parliamentary Beer Group,NA,"5,960",01/11/18,08/11/18
Heineken UK,All-Party Parliamentary Beer Group,NA,"5,960",05/07/18,09/08/18
INBEV UK,All-Party Parliamentary Beer Group,NA,"5,960",03/08/18,07/09/18
Marstons PLC,All-Party Parliamentary Beer Group,NA,"5,960",31/07/18,09/08/18
Stonegate Pub Company,All-Party Parliamentary Beer Group,NA,"5,960",31/10/18,07/11/18
Diageo GB,All-Party Parliamentary Beer Group,NA,"5,840",20/07/18,09/08/18
Molson Coors Brewing Company UK,All-Party Parliamentary Beer Group,NA,"5,840",05/02/18,05/03/18
MACAIDS,All-Party Parliamentary Group on HIV and AIDS,NA,"5,770",21/03/18,24/04/18
CMS Cameron McKenna Nabarro Olswang LLP,All-Party Parliamentary Group on Electric and Automated Vehicles,NA,"5,070",17/09/18,12/12/18
Boeing Defence UK,All-Party Parliamentary Group on General Aviation,NA,"5,000",12/02/18,23/02/18
Boeing UK Ltd,All-Party Parliamentary Group on General Aviation,NA,"5,000",12/07/18,12/07/18
Calor,All-Party Parliamentary Group for Intelligent Energy,NA,"5,000",04/12/17,21/06/18
easyJet Airline Company Limited,All-Party Parliamentary Group on General Aviation,NA,"5,000",21/12/18,02/01/19
Finance and Leasing Association,All-Party Parliamentary Group on Alternative Lending,NA,"5,000",30/05/18,18/09/18
Institute of Physics,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"5,000",03/04/18,15/05/18
JLT Management Services Ltd,All-Party Parliamentary Group on General Aviation,NA,"5,000",14/06/18,22/06/18
Liverpool School of Tropical Medicine,All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases,NA,"5,000",31/07/18,15/05/18
Lockheed Martin UK,All-Party Parliamentary Group on the Fourth Industrial Revolution,NA,"5,000",25/10/18,06/11/18
London Mathematical Society,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"5,000",20/03/18,21/03/18
Malaria Consortium,All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases,NA,"5,000",13/10/17,15/05/18
Malaria No More UK,All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases,NA,"5,000",21/12/17,15/05/18
Marie Stopes International,"All-Party Parliamentary Group  on Population, Development and Reproductive Health",NA,"5,000",22/12/17,22/01/18
National Counselling Society,All-Party Parliamentary Group on a Fit and Healthy Childhood,NA,"5,000",23/01/18,23/01/18
National Counselling Society,All-Party Parliamentary Group on a Fit and Healthy Childhood,NA,"5,000",18/05/18,22/05/18
Nutrition Society,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"5,000",25/06/18,14/08/18
Physiological Society,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"5,000",28/02/18,21/03/18
Play Therapy UK,All-Party Parliamentary Group on a Fit and Healthy Childhood,NA,"5,000",20/07/18,20/07/18
Play Therapy UK,All-Party Parliamentary Group on a Fit and Healthy Childhood,NA,"5,000",17/12/18,18/12/18
Quorn Foods,All-Party Parliamentary Group on a Fit and Healthy Childhood,NA,"5,000",31/07/18,03/08/18
Quorn Foods,All-Party Parliamentary Group on a Fit and Healthy Childhood,NA,"5,000",23/10/18,23/10/18
Royal Academy of Engineering,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"5,000",19/03/18,21/03/18
Royal Society of Biology,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"5,000",19/06/18,14/08/18
Royal Society of Chemistry,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"5,000",06/04/18,15/05/18
Saffron Building Society,All-Party Parliamentary Group for Challenger Banks and Building Societies,NA,"5,000",01/11/18,21/12/18
Society of Independent Brewers,All-Party Parliamentary Beer Group,NA,"5,000",22/10/18,07/11/18
University of Edinburgh,All-Party Parliamentary Group on Global Health,NA,"5,000",29/10/18,07/11/18
University of Oxford,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"5,000",07/03/18,21/03/18
CBBC,All-Party Parliamentary China Group,NA,"4,500",27/03/18,22/08/18
EPSRC,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"4,500",02/03/18,21/03/18
RFL,All-Party Parliamentary Rugby League Group,NA,"4,500",07/03/18,14/05/18
RFL,All-Party Parliamentary Rugby League Group,NA,"4,500",03/05/18,14/05/18
RFL,All-Party Parliamentary Rugby League Group,NA,"4,500",04/07/18,17/07/18
Visit Britain,All-Party Parliamentary China Group,NA,"4,500",23/03/18,22/08/18
Kingston University,All-Party Parliamentary Group on a Fit and Healthy Childhood,NA,"4,000",30/10/18,30/10/18
EI Group,All-Party Parliamentary Beer Group,NA,"3,973",23/11/18,06/12/18
Small Foundation,All-Party Parliamentary Group on Agriculture and Food for Development,NA,"3,500",28/03/18,13/04/18
Kingstone Press,All-Party Parliamentary Rugby League Group,NA,"3,360",05/01/18,05/01/18
Airtopia,All-Party Parliamentary Group on Air Pollution,NA,"3,000",09/02/18,18/12/18
CAFOD,All-Party Parliamentary Group for Sudan and South Sudan,NA,"3,000",27/07/18,06/09/18
Centre for Agriculture and Biosciences International,All-Party Parliamentary Group on Agriculture and Food for Development,NA,"3,000",15/10/18,16/10/18
EON,All-Party Parliamentary Group on Smart Cities,NA,"3,000",09/07/18,10/08/18
Ferrovial,All-Party Parliamentary Group on Smart Cities,NA,"3,000",30/05/18,10/08/18
International Partnership for Microbicides,All-Party Parliamentary Group on HIV and AIDS,NA,"3,000",22/12/17,30/01/18
PGA,All-Party Parliamentary Group for Golf,NA,"3,000",22/12/17,05/01/18
PING Europe,All-Party Parliamentary Group for Golf,NA,"3,000",20/08/18,23/08/18
R&A,All-Party Parliamentary Group for Golf,NA,"3,000",22/12/17,05/01/18
Tearfund,All-Party Parliamentary Group for Sudan and South Sudan,NA,"3,000",27/04/18,20/07/18
WSP,All-Party Parliamentary Group on Smart Cities,NA,"3,000",12/06/18,10/08/18
Asahi UK,All-Party Parliamentary Beer Group,NA,"2,810",06/04/18,03/05/18
Paul Hamlyn Foundation,"All-Party Parliamentary Group on Arts, Health and Wellbeing",NA,"2,695",18/01/18,28/02/18
Paul Hamlyn Foundation,"All-Party Parliamentary Group on Arts, Health and Wellbeing",NA,"2,695",02/02/18,22/06/18
BAM Construction,All-Party Parliamentary Group on Smart Cities,NA,"2,500",15/01/18,12/02/18
Crown Estates,All-Party Parliamentary Group on Smart Cities,NA,"2,500",05/02/18,12/02/18
Hindu Matters in Britain,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"2,500",15/05/18,24/05/18
Huawei Technologie,All-Party Parliamentary Group on Smart Cities,NA,"2,500",01/03/18,19/04/18
Institute of Biomedical Science,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"2,500",26/02/18,21/03/18
Intel,All-Party Parliamentary Group on Smart Cities,NA,"2,500",08/02/18,12/02/18
Isobel Pollock Hulf,All-Party Parliamentary Group for Rowing,NA,"2,500",29/03/18,03/04/18
Northrop Grumman UK,All-Party Parliamentary Group for the Armed Forces,NA,"2,500",09/01/18,30/01/18
Nottingham Building Society,All-Party Parliamentary Group for Challenger Banks and Building Societies,NA,"2,500",12/11/18,21/12/18
Self Help Africa,All-Party Parliamentary Group on Agriculture and Food for Development,NA,"2,500",01/02/18,14/02/18
Society of Chemical Industry,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),NA,"2,500",23/03/18,15/05/18
Syngenta Foundation,All-Party Parliamentary Group on Agriculture and Food for Development,NA,"2,500",25/06/18,25/06/18
EI Group,All-Party Parliamentary Beer Group,NA,"2,433",02/03/18,09/04/18
Agilesphere,"Parliamentary Internet, Communications and Technology Forum (an All-Party Parliamentary Group)",NA,"2,400",27/02/18,03/04/18
Coptic Orthodox Church Centre,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"2,400",30/01/18,31/01/18
Humanists UK,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"2,400",09/07/18,17/07/18
National Spiritual Assembly of the Baha'is of the UK,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"2,400",20/07/18,08/08/18
The Church of Jesus Christ of Latter-day Saints,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"2,400",23/04/18,26/04/18
National Grid plc,All-Party Parliamentary Corporate Responsibility Group,NA,"2,143",18/01/18,18/01/18
Concern Worldwide,All-Party Parliamentary Group on Agriculture and Food for Development,NA,"2,000",05/03/18,12/03/18
Hitachi,All-Party Parliamentary Group on Japan,NA,"2,000",20/05/18,19/06/18
Oxfam,All-Party Parliamentary Group for Sudan and South Sudan,NA,"2,000",02/02/18,20/07/18
Sheffield Hallam University,All-Party Parliamentary Group on a Fit and Healthy Childhood,NA,"2,000",15/10/18,15/10/18
UK Hospitality,All-Party Parliamentary Beer Group,NA,"2,000",16/10/18,07/11/18
University of Winchester,All-Party Parliamentary Group on a Fit and Healthy Childhood,NA,"2,000",28/09/18,29/09/18
WWF UK,All-Party Parliamentary Group for the Polar Regions,NA,"2,000",02/07/18,10/10/18
EI Group,All-Party Parliamentary Beer Group,NA,"1,986",20/07/18,09/08/18
Srixon Sports,All-Party Parliamentary Group on Japan,NA,"1,800",25/02/18,13/03/18
Royal Norwegian Embassy in London,All-Party Parliamentary Group for the Polar Regions,NA,"1,781",31/10/18,14/11/18
Ahmadiyya Muslim Community UK,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"1,600",15/03/18,23/03/18
Aid to the Church in Need,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"1,600",02/03/18,02/03/18
Christian Solidarity Worldwide,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"1,600",03/04/18,26/04/18
Open Doors (UK & Ireland),All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"1,600",01/03/18,02/03/18
Release International,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"1,600",01/03/18,02/03/18
"St Michael's Church, Chester Square",All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"1,600",15/03/18,23/03/18
The Al-Khoei Foundation,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"1,600",01/03/18,02/03/18
The Buddhist Society,All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"1,600",01/03/18,02/03/18
"The Ismaili Centre, London",All-Party Parliamentary Group for International Freedom of Religion or Belief,NA,"1,600",15/03/18,23/03/18
