name,purpose,mmname,position,party
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Baroness Benjamin,Vice Chair,Liberal Democrat
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Sir David Amess,Vice Chair,Conservative
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Kate Hoey,Vice Chair,Labour
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Ian Paisley,Vice Chair,Democratic Unionist Party
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Angus Brendan MacNeil,Vice Chair,Scottish National Party
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Dawn Butler,Vice Chair,Labour
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Baroness Howells of St Davids,Vice Chair,Labour
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Mark Menzies,Treasurer,Conservative
All-Party Parliamentary Group on Catalonia,To develop links between parliamentarians in this country and in Catalonia. To keep members of parliament abreast of the on-going debate and events about Catalan self-determination and to help ensure that debate is carried out in the most democratic way.,Hywel Williams,Chair & Registered Contact,Plaid Cymru
All-Party Parliamentary Group on Catalonia,To develop links between parliamentarians in this country and in Catalonia. To keep members of parliament abreast of the on-going debate and events about Catalan self-determination and to help ensure that debate is carried out in the most democratic way.,Douglas Chapman,Vice Chair,Scottish National Party
All-Party Parliamentary Group on Catalonia,To develop links between parliamentarians in this country and in Catalonia. To keep members of parliament abreast of the on-going debate and events about Catalan self-determination and to help ensure that debate is carried out in the most democratic way.,Mr Roger Godsiff,Vice Chair,Labour
All-Party Parliamentary Group on Catalonia,To develop links between parliamentarians in this country and in Catalonia. To keep members of parliament abreast of the on-going debate and events about Catalan self-determination and to help ensure that debate is carried out in the most democratic way.,Baroness Garden of Frognal,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Catalonia,To develop links between parliamentarians in this country and in Catalonia. To keep members of parliament abreast of the on-going debate and events about Catalan self-determination and to help ensure that debate is carried out in the most democratic way.,Baroness Hooper,Vice Chair,Conservative
All-Party Parliamentary Group on Catalonia,To develop links between parliamentarians in this country and in Catalonia. To keep members of parliament abreast of the on-going debate and events about Catalan self-determination and to help ensure that debate is carried out in the most democratic way.,Lord Rennard,Vice Chair,Liberal Democrat
All-Party Parliamentary Group on Catalonia,To develop links between parliamentarians in this country and in Catalonia. To keep members of parliament abreast of the on-going debate and events about Catalan self-determination and to help ensure that debate is carried out in the most democratic way.,Andrew Rosindell,Vice Chair,Conservative
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Sir Graham Brady,Chair & Registered Contact,Conservative
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Chris Evans,Vice Chairman,Labour (Co-op)
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Mrs Pauline Latham,Vice Chairman,Conservative
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Angus Brendan MacNeil,Vice Chairman,Scottish National Party
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Lord Naseby,Vice Chairman,Conservative
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Dr Matthew Offord,Vice Chairman,Conservative
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Andrew Rosindell,Vice Chairman,Conservative
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Mr Virendra Sharma,Vice Chairman,Labour
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Henry Smith,Vice Chairman,Conservative
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Bill Wiggin,Vice Chairman,Conservative
British-Central America All-Party Parliamentary Group,To encourage political interest in Central America and to meet with politicians from that area who are visiting the UK.,Andrew Rosindell,Chair & Registered Contact,Conservative
British-Central America All-Party Parliamentary Group,To encourage political interest in Central America and to meet with politicians from that area who are visiting the UK.,Baroness Hooper,Vice Chair,Conservative
British-Central America All-Party Parliamentary Group,To encourage political interest in Central America and to meet with politicians from that area who are visiting the UK.,Lord Kilclooney,Vice Chair,Crossbench
British-Central America All-Party Parliamentary Group,To encourage political interest in Central America and to meet with politicians from that area who are visiting the UK.,Lord Foulkes of Cumnock,President,Labour
British-Central America All-Party Parliamentary Group,To encourage political interest in Central America and to meet with politicians from that area who are visiting the UK.,Martin Vickers,Vice Chair,Conservative
British-Central America All-Party Parliamentary Group,To encourage political interest in Central America and to meet with politicians from that area who are visiting the UK.,Ian Paisley,Vice Chair,Democratic Unionist Party
British-Central America All-Party Parliamentary Group,To encourage political interest in Central America and to meet with politicians from that area who are visiting the UK.,Lord Jones of Cheltenham,Vice Chair,Liberal Democrat
British-Central America All-Party Parliamentary Group,To encourage political interest in Central America and to meet with politicians from that area who are visiting the UK.,Tony Lloyd,Vice Chair,Labour
British-Central America All-Party Parliamentary Group,To encourage political interest in Central America and to meet with politicians from that area who are visiting the UK.,Bob Stewart,Vice Chair,Conservative
Chagos Islands (British Indian Ocean Territory) All-Party Parliamentary Group,To help bring about a resolution of the issues concerning the future of the Chagos Islands (British Indian Ocean Territory) and the Chagossians.,Andrew Rosindell,Chair & Registered Contact,Conservative
Chagos Islands (British Indian Ocean Territory) All-Party Parliamentary Group,To help bring about a resolution of the issues concerning the future of the Chagos Islands (British Indian Ocean Territory) and the Chagossians.,Jeremy Corbyn,President,Labour
Chagos Islands (British Indian Ocean Territory) All-Party Parliamentary Group,To help bring about a resolution of the issues concerning the future of the Chagos Islands (British Indian Ocean Territory) and the Chagossians.,Lord Ramsbotham,Vice Chair,Crossbench
